HS,AS,HST,AST
10,17,3,9
14,13,4,3
12,13,6,4
14,18,5,5
16,7,4,3
12,12,2,1
24,5,6,1
9,16,5,7
9,11,3,7
16,7,6,3
12,13,5,1
3,26,2,5
8,13,1,4
8,12,3,6
13,12,3,4
20,10,5,2
6,13,2,4
11,13,4,7
18,8,5,3
15,8,2,5
22,6,10,0
24,10,5,3
21,8,9,1
8,29,2,9
13,9,6,3
16,5,7,2
11,13,4,3
14,10,6,7
22,9,5,2
13,7,2,2
17,11,2,5
12,12,5,2
13,11,2,3
17,12,11,3
14,18,3,6
12,12,4,4
15,20,2,8
19,13,4,8
6,28,2,7
11,20,2,9
12,13,4,5
11,7,6,0
6,24,2,9
14,7,6,2
20,6,12,2
8,23,6,5
14,11,8,4
19,9,6,3
31,6,9,2
10,15,5,2
14,9,5,2
12,13,1,2
32,2,12,1
16,10,7,3
6,19,2,5
12,9,2,3
11,20,4,4
13,18,5,4
13,18,1,9
13,12,4,3
13,10,3,2
8,22,3,9
7,17,2,7
8,18,3,6
17,11,7,2
19,9,2,3
10,18,1,3
9,11,1,5
24,7,9,6
13,12,7,6
16,13,6,6
22,11,10,4
16,5,6,0
12,12,3,4
19,3,8,2
18,11,6,1
8,20,4,8
10,4,3,2
34,6,14,1
9,7,3,1
9,11,5,4
8,16,1,4
9,20,3,8
9,12,2,6
17,23,4,7
21,6,7,1
11,10,5,2
20,10,3,2
14,16,6,5
14,6,3,2
7,17,6,10
37,7,11,1
10,15,3,3
3,21,1,7
22,6,5,1
22,8,0,2
9,21,1,8
17,13,6,3
9,13,1,7
17,14,4,6
22,9,7,4
14,16,7,5
21,1,9,0
25,5,7,3
9,12,2,4
15,10,2,3
6,19,2,7
5,11,2,5
28,11,17,8
6,9,1,3
9,10,2,4
14,5,6,3
12,5,5,1
3,15,0,2
14,9,6,2
11,17,4,7
14,11,6,3
10,10,3,2
12,13,1,3
16,5,6,2
10,21,5,5
9,12,5,6
10,11,4,2
11,6,3,2
27,6,7,1
18,12,9,4
16,9,3,3
17,6,8,2
17,13,7,1
11,14,2,1
9,17,4,3
14,10,5,4
10,14,4,4
22,17,6,5
28,1,15,0
11,17,3,5
10,19,3,10
12,10,8,3
13,10,6,2
16,6,4,2
21,12,6,5
16,17,7,4
15,14,6,6
10,19,6,4
14,11,5,2
11,11,6,4
12,6,2,1
18,7,3,3
15,12,5,4
14,6,3,2
9,12,3,4
14,9,4,3
6,16,3,6
13,5,7,2
8,15,3,4
5,15,3,4
8,19,3,6
27,10,9,5
13,8,4,4
20,8,7,2
6,13,2,6
10,14,4,2
16,14,7,8
12,9,4,4
10,10,1,5
18,16,6,5
10,14,5,8
14,6,5,1
30,5,9,2
6,11,1,4
26,3,11,1
6,8,4,2
14,7,4,3
10,16,3,6
7,8,2,3
26,7,9,4
14,14,7,7
9,10,3,4
20,6,6,2
9,17,2,5
13,20,4,7
16,11,6,3
18,5,7,2
12,25,4,5
5,9,1,2
32,9,12,2
10,7,1,3
14,11,5,6
22,7,7,4
6,19,2,6
17,12,6,3
14,11,3,3
9,10,1,4
10,21,5,15
8,17,5,6
8,13,2,6
12,14,6,4
7,11,3,4
17,9,5,2
9,11,2,2
9,20,3,5
14,8,3,6
7,8,2,3
14,14,3,6
12,14,3,6
21,3,11,0
12,5,5,1
14,10,3,1
6,13,4,5
9,13,3,4
15,10,5,3
8,16,2,8
16,6,5,3
17,6,7,2
11,13,2,5
6,25,1,8
14,9,5,3
24,13,8,7
9,9,5,4
20,11,7,2
20,10,5,6
10,11,2,4
24,13,3,5
7,8,3,2
11,16,3,5
3,14,1,3
11,10,5,2
15,6,6,2
14,14,7,5
6,11,1,4
13,9,6,5
21,10,9,7
15,18,10,8
7,22,4,5
21,6,7,4
17,8,5,0
16,11,7,7
16,12,4,2
11,15,1,9
17,4,5,2
17,9,7,4
17,7,9,2
22,9,11,3
9,7,3,3
7,6,4,1
6,15,1,8
16,8,4,3
6,13,4,2
10,9,4,1
5,17,1,5
16,3,5,2
15,11,3,4
20,10,8,1
15,10,1,3
9,13,1,2
13,12,4,4
21,5,9,3
13,17,7,7
17,10,5,4
18,7,7,3
20,3,7,1
13,8,8,2
23,6,10,4
16,20,4,11
11,10,1,4
11,14,3,7
20,8,7,4
11,9,2,4
12,5,1,2
21,15,9,7
16,5,5,2
15,11,7,3
10,11,3,1
12,10,6,1
7,6,0,2
14,6,8,0
5,20,1,7
14,17,5,3
12,11,8,2
20,11,7,5
13,13,3,4
10,14,3,6
12,8,6,3
13,19,2,7
24,8,11,3
7,12,3,4
23,10,10,2
10,9,6,4
18,3,3,1
14,12,4,3
23,11,10,3
8,14,3,5
15,8,3,1
7,15,3,2
19,15,8,3
18,11,3,4
9,18,2,2
21,7,8,2
10,17,4,7
17,12,5,4
20,7,8,2
25,17,9,3
4,18,1,8
12,15,1,5
23,6,7,1
12,7,5,2
9,14,4,4
19,8,6,2
17,10,6,3
14,4,6,1
12,6,7,4
9,18,4,9
17,11,6,3
15,6,4,2
29,13,7,6
8,18,1,5
14,14,4,3
14,7,4,3
24,5,14,1
15,13,7,4
9,5,3,0
7,15,2,2
13,12,5,4
20,5,10,2
8,13,3,2
10,9,6,3
15,4,3,0
8,12,0,6
14,7,1,3
17,12,7,4
12,7,5,3
6,18,1,4
6,10,2,4
19,3,6,1
15,9,5,3
11,9,2,1
19,12,4,4
17,15,5,7
16,6,4,1
12,11,4,5
12,12,6,4
14,22,6,4
20,12,11,4
9,12,2,8
13,11,5,5
12,14,2,3
14,11,4,3
16,12,6,5
11,14,5,7
26,5,12,2
9,8,4,2
9,10,4,4
17,4,8,0
21,2,7,1
14,11,3,4
15,14,6,2
7,24,2,5
18,14,6,3
17,9,5,4
14,14,3,4
10,10,4,6
13,3,4,3
12,9,4,0
14,8,7,2
10,26,3,11
24,9,9,3
36,6,13,2
21,5,10,2
17,11,6,1
12,26,5,12
17,22,9,7
9,14,1,4
28,7,8,3
10,19,4,14
21,10,5,4
25,9,10,3
9,6,2,1
14,14,6,3
12,16,2,5
6,15,3,9
